Asset Class	Company code	Number of similar assets	Asset Number	Asset Sub Number	Asset main no. text	Description	Description2	Quantity	Unit     	Serial No.   	Inventory Note	Inventory number	Capitalize Date	Ordinary Depreciation date	Cost center	Investment Reason	Asset Super Number	WBS element	Dep key	Use full life	Scrap value	Evaluation group 1	Evaluation group 2	Evaluation group 3	Evaluation group 4	Evaluation group 5	Room	License plate number	Type name
10602	MWA				อาคารสุทธิอุทกากร	ไมโครโฟนไร้สายแบบมือถือ รุ่น ATW-3212/C510	ยี่ห้อ AUDIO TECHNICA พร้อมตัวรับสัญญาณ	1			3300053250	จล.8/2564	11092023		1212203	IF		C64204020001				1				10807			
10602	MWA				อาคารสุทธิอุทกากร	ไมโครโฟนไร้สายแบบมือถือ รุ่น ATW-3212/C510	ยี่ห้อ AUDIO TECHNICA พร้อมตัวรับสัญญาณ	1			3300053250	จล.8/2564	11092023		1212203	IF		C64204020001				1				10807			
10602	MWA				อาคารสุทธิอุทกากร	ไมโครโฟนไร้สายแบบมือถือ รุ่น ATW-3212/C510	ยี่ห้อ AUDIO TECHNICA พร้อมตัวรับสัญญาณ	1			3300053250	จล.8/2564	11092023		1212203	IF		C64204020001				1				10807			
10602	MWA				อาคารสุทธิอุทกากร	ไมโครโฟนไร้สายแบบมือถือ รุ่น ATW-3212/C510	ยี่ห้อ AUDIO TECHNICA พร้อมตัวรับสัญญาณ	1			3300053250	จล.8/2564	11092023		1212203	IF		C64204020001				1				10807			
10602	MWA				อาคารสุทธิอุทกากร	ไมโครโฟนแบบมีสาย รุ่น SM58S ยี่ห้อ SHURE		1			3300053250	จล.8/2564	11092023		1212203	IF		C64204020001				1				10807			
10602	MWA				อาคารสุทธิอุทกากร	ไมโครโฟนแบบมีสาย รุ่น SM58S ยี่ห้อ SHURE		1			3300053250	จล.8/2564	11092023		1212203	IF		C64204020001				1				10807			
10602	MWA				อาคารสุทธิอุทกากร	ไมโครโฟนแบบมีสาย รุ่น SM58S ยี่ห้อ SHURE		1			3300053250	จล.8/2564	11092023		1212203	IF		C64204020001				1				10807			
10602	MWA				อาคารสุทธิอุทกากร	ไมโครโฟนแบบมีสาย รุ่น SM58S ยี่ห้อ SHURE		1			3300053250	จล.8/2564	11092023		1212203	IF		C64204020001				1				10807			
10602	MWA				อาคารสุทธิอุทกากร	เครื่องควบคุมกลางพร้อมอุปกรณ์ รุ่น CP-4 	ยี่ห้อ CRESTRON	1			3300053250	จล.8/2564	11092023		1212203	IF		C64204020001				1				10807			
10602	MWA				อาคารสุทธิอุทกากร	ที่ควบคุมแบบจอสัมผัส		1			3300053250	จล.8/2564	11092023		1212203	IF		C64204020001				1				10807			
10602	MWA				อาคารสุทธิอุทกากร	ที่ควบคุมแบบจอสัมผัส		1			3300053250	จล.8/2564	11092023		1212203	IF		C64204020001				1				10807			
10610	MWA				อาคารสุทธิอุทกากร	IPAD ยี่ห้อ APPLE		1			3300053250	จล.8/2564	11092023		1212203	IF		C64204020001				1				10807			
10602	MWA				อาคารสุทธิอุทกากร	Ethernet Switcher Hub 24 ช่อง รุ่น TL-SG1428PE 	ยี่ห้อ TP-LINK	1			3300053250	จล.8/2564	11092023		1212203	IF		C64204020001				1				10807			
10602	MWA				อาคารสุทธิอุทกากร	แผงควบคุมแสงสว่างบนเวที รุ่น MINI1000 	ยี่ห้อ CODE	1			3300053250	จล.8/2564	11092023		1212203	IF		C64204020001				1				10807			
10602	MWA				อาคารสุทธิอุทกากร	แผงควบคุมแสงสว่างบนเวที รุ่น MINI1000 	ยี่ห้อ CODE	1			3300053250	จล.8/2564	11092023		1212203	IF		C64204020001				1				10807			
10602	MWA				อาคารสุทธิอุทกากร	เครื่องกระจายสัญญาณ DMX รุ่น SDA8 ยี่ห้อ CODE		1			3300053250	จล.8/2564	11092023		1212203	IF		C64204020001				1				10807			
10602	MWA				อาคารสุทธิอุทกากร	เครื่องกระจายสัญญาณ DMX รุ่น SDA8 ยี่ห้อ CODE		1			3300053250	จล.8/2564	11092023		1212203	IF		C64204020001				1				10807			
10602	MWA				อาคารสุทธิอุทกากร	จุดเชื่อมต่อแบบไร้สาย รุ่น LAPAC1200C-AH 	ยี่ห้อ LINKSYS	1			3300053250	จล.8/2564	11092023		1212203	IF		C64204020001				1				10807			
10602	MWA				อาคารสุทธิอุทกากร	จุดเชื่อมต่อแบบไร้สาย รุ่น LAPAC1200C-AH 	ยี่ห้อ LINKSYS	1			3300053250	จล.8/2564	11092023		1212203	IF		C64204020001				1				10807			
10604	MWA				อาคารสุทธิอุทกากร	โคมไฟ PAR 		1			3300053250	จล.8/2564	11092023		1212203	IF		C64204020001				1				10807			
10604	MWA				อาคารสุทธิอุทกากร	โคมไฟ PAR 		1			3300053250	จล.8/2564	11092023		1212203	IF		C64204020001				1				10807			
10604	MWA				อาคารสุทธิอุทกากร	โคมไฟ PAR 		1			3300053250	จล.8/2564	11092023		1212203	IF		C64204020001				1				10807			
10604	MWA				อาคารสุทธิอุทกากร	โคมไฟ PAR 		1			3300053250	จล.8/2564	11092023		1212203	IF		C64204020001				1				10807			
10604	MWA				อาคารสุทธิอุทกากร	โคมไฟ PAR 		1			3300053250	จล.8/2564	11092023		1212203	IF		C64204020001				1				10807			
10604	MWA				อาคารสุทธิอุทกากร	โคมไฟ PAR 		1			3300053250	จล.8/2564	11092023		1212203	IF		C64204020001				1				10807			
10604	MWA				อาคารสุทธิอุทกากร	โคมไฟ PAR 		1			3300053250	จล.8/2564	11092023		1212203	IF		C64204020001				1				10807			
10604	MWA				อาคารสุทธิอุทกากร	โคมไฟ PAR 		1			3300053250	จล.8/2564	11092023		1212203	IF		C64204020001				1				10807			
10604	MWA				อาคารสุทธิอุทกากร	โคมไฟ PAR 		1			3300053250	จล.8/2564	11092023		1212203	IF		C64204020001				1				10807			
10604	MWA				อาคารสุทธิอุทกากร	โคมไฟ PAR 		1			3300053250	จล.8/2564	11092023		1212203	IF		C64204020001				1				10807			
10604	MWA				อาคารสุทธิอุทกากร	โคมไฟ PAR 		1			3300053250	จล.8/2564	11092023		1212203	IF		C64204020001				1				10807			
10604	MWA				อาคารสุทธิอุทกากร	โคมไฟ PAR 		1			3300053250	จล.8/2564	11092023		1212203	IF		C64204020001				1				10807			
10604	MWA				อาคารสุทธิอุทกากร	โคมไฟ PAR 		1			3300053250	จล.8/2564	11092023		1212203	IF		C64204020001				1				10807			
10604	MWA				อาคารสุทธิอุทกากร	โคมไฟ PAR 		1			3300053250	จล.8/2564	11092023		1212203	IF		C64204020001				1				10807			
